,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
12952,Серебряные серьги,Артикул: 239229,774₽,2580₽,"Артикул: 239229;Серьги    
Серебро 925 пробы.;Вес изделия: 2.59г;Серьги    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_239229.html,S13161-C9W-01&Серебро&2.59 г,SERGEY GRIBNYAKOV&Гладкие серебряные украшения
12953,Золотое кольцо с сапфирами,Артикул: 280350,13194₽,43980₽,"Артикул: 280350;Кольцо с 1 сапф. овал - 0,532 кар. 2/2 Б ГР; 2 лейкосапфир -0,152 кар.
Розовое золото 585 пробы.;Вес изделия: 1.27г;Кольцо с 1 сапф. овал - 0,532 кар. 2/2 Б ГР; 2 лейкосапфир -0,152 кар.
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/ring_280350.html,71427-K5R-01&РОССИЯ&Розовое золото&Сапфир&1.27 г,SERGEY GRIBNYAKOV&Золото. Сапфиры
12954,Серебряное кольцо,Артикул: 314275,1014₽,3380₽,"Артикул: 314275;Кольцо    
Серебро 925 пробы.;Вес изделия: 0.91г;Кольцо    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/ring_314275.html,2ДУЗ&РОССИЯ&Серебро&0.91 г,SUNLIGHT&Гладкие серебряные украшения
12955,Серебряное кольцо с фианитами,Артикул: 189449,774₽,2580₽,"Артикул: 189449;Кольцо, вставка:  фианит;    
Серебро 925 пробы.

Быть в тренде – легко! Самые актуальные Украшения из коллекции SILVER FASHION: одно или сразу несколько – решать только Вам!;Вес изделия: 0.98г;Кольцо, вставка:  фианит;    
Серебро 925 пробы.;Быть в тренде – легко! Самые актуальные Украшения из коллекции SILVER FASHION: одно или сразу несколько – решать только Вам!",,,,,https://sunlight.net/catalog/ring_189449.html,S52587-K9W-01&Серебро&Фианит&0.98 г,SERGEY GRIBNYAKOV&СЕРЕБРО. FASHION 
12956,Серебряное кольцо с фианитами и керамикой,Артикул: 257481,954₽,3180₽,"Артикул: 257481;Кольцо, вставка:  керамика черная; фианит;    
Серебро 925 пробы.

Изделия из керамики могут быть лаконичными и торжественными, органично дополнять повседневные и деловые образы или же стать изысканными аксессуарами к вечерним нарядам. Керамика в носке проявляет себя очень достойно: материал гипоаллергенный, не царапается, не меняет цвет под действием ультрафиолета, не подвергается окислению.;Вес изделия: 4.64г;Кольцо, вставка:  керамика черная; фианит;    
Серебро 925 пробы.;Изделия из керамики могут быть лаконичными и торжественными, органично дополнять повседневные и деловые образы или же стать изысканными аксессуарами к вечерним нарядам. Керамика в носке проявляет себя очень достойно: материал гипоаллергенный, не царапается, не меняет цвет под действием ультрафиолета, не подвергается окислению.",,,,,https://sunlight.net/catalog/ring_257481.html,S20257-K9W-01&Серебро&Фианит; Керамика&4.64 г,SERGEY GRIBNYAKOV&СЕРЕБРО КЕРАМИКА
12957,Золотая подвеска с фианитами,Артикул: 79108,1794₽,5980₽,"Артикул: 79108;Подвеска, вставка:  фианит;    
Розовое золото 585 пробы.

Трендовые золотые украшения. Стильные украшения – обязательный элемент модного образа. Кольца и браслеты, колье и серьги – они всегда вызывают повышенный интерес.;Вес изделия: 0.48г;Подвеска, вставка:  фианит;    
Розовое золото 585 пробы.;Трендовые золотые украшения. Стильные украшения – обязательный элемент модного образа. Кольца и браслеты, колье и серьги – они всегда вызывают повышенный интерес.",,,,,https://sunlight.net/catalog/pendants_79108.html,300101791*&РОССИЯ&Розовое золото&Фианит&0.48 г,SERGEY GRIBNYAKOV&Трендовые золотые украшения
12958,Золотые серьги с фианитами и топазами,Артикул: 328959,20394₽,67980₽,"Артикул: 328959;Серьги с  фианит;2 топазами голубыми, 5.81 карат, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 3.87г;Серьги с  фианит;2 топазами голубыми, 5.81 карат, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_328959.html,2102708 1 3 1*&РОССИЯ&Розовое золото&Фианит; Топаз&3.87 г,SERGEY GRIBNYAKOV&ЗОЛОТО. ТОПАЗЫ
12959,Золотые серьги с бриллиантами,Артикул: 70819,36594₽,121980₽,"Артикул: 70819;Серьги с 58 бриллиантами, огранка круг 17 граней, 0.20 карат, цвет 2, чистота 3, тип огранки Б;    
Розовое золото 585 пробы.

Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.;Вес изделия: 3.41г;Серьги с 58 бриллиантами, огранка круг 17 граней, 0.20 карат, цвет 2, чистота 3, тип огранки Б;    
Розовое золото 585 пробы.;Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.",,,,,https://sunlight.net/catalog/earring_70819.html,7568-C5R-01&Розовое золото&Бриллиант&3.41 г,SUNLIGHT&Бриллианты. Miracle
12960,Золотой браслет,Артикул: 153440,24240₽,80800₽,"Артикул: 153440;Браслет    
Желтое золото 585 пробы.

Бренд LINEA является торговой маркой российских золотых и серебряных цепей и цепных браслетов высшего качества.
Украшения под этой торговой маркой производятся на лучших цепевязальных ювелирных заводах России.
Специалисты бренда уделяют приоритетное значение качеству. Каждое изделие проходит тройной контроль ОТК.
Фактический завод производитель указан на бирке каждого изделия.;Вес изделия: 5.69г;Браслет    
Желтое золото 585 пробы.;Бренд LINEA является торговой маркой российских золотых и серебряных цепей и цепных браслетов высшего качества.
Украшения под этой торговой маркой производятся на лучших цепевязальных ювелирных заводах России.
Специалисты бренда уделяют приоритетное значение качеству. Каждое изделие проходит тройной контроль ОТК.
Фактический завод производитель указан на бирке каждого изделия.",,,,,https://sunlight.net/catalog/bracelets_153440.html,"И2050322119*&РОССИЯ&Желтое золото&3,8 мм&5.69 г",LINEA
12961,Серебряное кольцо,Артикул: 272108,894₽,2980₽,"Артикул: 272108;Кольцо    
Серебро 925 пробы.;Вес изделия: 0.88г;Кольцо    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/ring_272108.html,КВ2ПГЛ&РОССИЯ&Серебро&0.88 г,FRANKO&Гладкие серебряные украшения
12962,Серебряное кольцо с фианитами,Артикул: 237885,1074₽,3580₽,"Артикул: 237885;Кольцо, вставка:  фианит;    
Серебро 925 пробы.;Вес изделия: 4.66г;Кольцо, вставка:  фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/ring_237885.html,S53388-K9W-01&Серебро&Фианит&4.66 г,SERGEY GRIBNYAKOV&СЕРЕБРО. Классика
12963,Серебряные серьги,Артикул: 249607,4290₽,21450₽,"Артикул: 249607;Серьги    
Серебро 925 пробы.;Вес изделия: 24.78г;Серьги    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_249607.html,S15253-C9W-01&Серебро&24.78 г,SERGEY GRIBNYAKOV&Гладкие серебряные украшения
12964,Золотые серьги с гранатом и фианитами,Артикул: 125128,7494₽,24980₽,"Артикул: 125128;Серьги с 2 гранатами, 1.02 карат, тип огранки Б; фианит;    
Розовое золото 585 пробы.

Насыщенный и страстный ярко-красный гранат, заключенный в роскошную золотую оправу. Гранат - символ любви, верности и мужества.;Вес изделия: 1.7г;Серьги с 2 гранатами, 1.02 карат, тип огранки Б; фианит;    
Розовое золото 585 пробы.;Насыщенный и страстный ярко-красный гранат, заключенный в роскошную золотую оправу. Гранат - символ любви, верности и мужества.",,,,,https://sunlight.net/catalog/earring_125128.html,С122-1517Гр*&РОССИЯ&Розовое золото&Фианит; Гранат&1.7 г,SERGEY GRIBNYAKOV&ГРАНАТЫ
12965,Серебряный браслет с фианитами,Артикул: 309924,1674₽,5580₽,"Артикул: 309924;Браслет, вставка:  фианит;    
Серебро 925 пробы.

Быть в тренде – легко! Самые актуальные Украшения из коллекции SILVER FASHION: одно или сразу несколько – решать только Вам!;Вес изделия: 2.78г;Браслет, вставка:  фианит;    
Серебро 925 пробы.;Быть в тренде – легко! Самые актуальные Украшения из коллекции SILVER FASHION: одно или сразу несколько – решать только Вам!",,,,,https://sunlight.net/catalog/bracelets_309924.html,S55361-B9W-01&Серебро&Фианит&2.78 г,SERGEY GRIBNYAKOV&СЕРЕБРО. FASHION 
12966,Серебряные серьги с амазонитом,Артикул: 303918,1914₽,6380₽,"Артикул: 303918;Серьги с 2 амазонитами;    
Серебро 925 пробы.;Вес изделия: 1.8г;Серьги с 2 амазонитами;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_303918.html,02-2634/0АМЗ-00&РОССИЯ&Серебро&Амазонит&1.8 г,SERGEY GRIBNYAKOV&Самоцветы
