,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
0,Серебряные серьги с фианитами,Артикул: 75382,4390₽,8780₽,"Артикул: 75382;Серьги, вставка:  фианит;    
Серебро 925 пробы.;Вес изделия: 6.58г;Серьги, вставка:  фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_75382.html,S50499-C9W-01&Серебро&Фианит&6.58 г,SERGEY GRIBNYAKOV&СЕРЕБРО. Классика
1,Золотое кольцо,Артикул: 282786,16800₽,33600₽,"Артикул: 282786;Кольцо    
Розовое золото 585 пробы.

Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.;Вес изделия: 1.6г;Кольцо    
Розовое золото 585 пробы.;Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.",,,,,https://sunlight.net/catalog/ring_282786.html,10355а-2*&РОССИЯ&Розовое золото&1.6 г,SERGEY GRIBNYAKOV&Золотые украшения без вставок
2,Золотое кольцо с бриллиантами,Артикул: 53306,34990₽,69980₽,"Артикул: 53306;Кольцо с 63 бриллиантами, огранка круг 17 граней, 0.11 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.;Вес изделия: 2.34г;Кольцо с 63 бриллиантами, огранка круг 17 граней, 0.11 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.",,,,,https://sunlight.net/catalog/ring_53306.html,3300-K5W-05&РОССИЯ&Белое золото&Бриллиант&2.34 г,Бриллианты Якутии&Бриллианты. Классика
3,Золотой браслет,Артикул: 45278,15240₽,30480₽,"Артикул: 45278;Браслет    
Розовое золото 585 пробы.

За счёт сложной геометрии плетение ""Ромб"" выглядит объемно и по-настоящему изысканно. Свет необычным образом отражается от звеньев. Цепочки с ромбом в основе плетения очень популярны и пользуются спросом. В этом случае каждое из звеньев представляет собой одноимённую геометрическую фигуру. Одинаковые противоположные углы или квадраты вытянутой формы составляют прочную конструкцию. Цепочка надолго сохраняет свой первоначальный праздничный блеск и красоту. Это одна из классических форм плетений, но у неё есть несколько разновидностей.
Бренд LINEA является торговой маркой российских золотых и серебряных цепей и цепных браслетов высшего качества.
Украшения под этой торговой маркой производятся на лучших цепевязальных ювелирных заводах России.
Специалисты бренда уделяют приоритетное значение качеству. Каждое изделие проходит тройной контроль ОТК.
Фактический завод производитель указан на бирке каждого изделия.;Вес изделия: 2.54г;Браслет    
Розовое золото 585 пробы.;За счёт сложной геометрии плетение ""Ромб"" выглядит объемно и по-настоящему изысканно. Свет необычным образом отражается от звеньев. Цепочки с ромбом в основе плетения очень популярны и пользуются спросом. В этом случае каждое из звеньев представляет собой одноимённую геометрическую фигуру. Одинаковые противоположные углы или квадраты вытянутой формы составляют прочную конструкцию. Цепочка надолго сохраняет свой первоначальный праздничный блеск и красоту. Это одна из классических форм плетений, но у неё есть несколько разновидностей.
Бренд LINEA является торговой маркой российских золотых и серебряных цепей и цепных браслетов высшего качества.
Украшения под этой торговой маркой производятся на лучших цепевязальных ювелирных заводах России.
Специалисты бренда уделяют приоритетное значение качеству. Каждое изделие проходит тройной контроль ОТК.
Фактический завод производитель указан на бирке каждого изделия.",,,,,https://sunlight.net/catalog/bracelets_45278.html,"7050154-18*&Розовое золото&3,2 мм&2.54 г",LINEA&Цепи Полновесные
4,Золотые серьги с сапфирами и бриллиантами,Артикул: 320159,53990₽,107980₽,"Артикул: 320159;Серьги с 14 бриллиантами, огранка круг 17 граней, 0.06 карат, цвет 2, чистота 2, тип огранки Б;
2 сапфирами, 1.93 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.;Вес изделия: 2.12г;Серьги с 14 бриллиантами, огранка круг 17 граней, 0.06 карат, цвет 2, чистота 2, тип огранки Б;
2 сапфирами, 1.93 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_320159.html,72148-C5W-01&РОССИЯ&Белое золото&Бриллиант; Сапфир&2.12 г,SERGEY GRIBNYAKOV&Золото. Сапфиры
5,Золотое кольцо с жемчугом,Артикул: 313980,38990₽,194950₽,"Артикул: 313980;Кольцо с 1 жемчугом культивированным, 4.24 карат, тип огранки В;    
Розовое золото 585 пробы.;Вес изделия: 3.72г;Кольцо с 1 жемчугом культивированным, 4.24 карат, тип огранки В;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/ring_313980.html,01-1-899-05&РОССИЯ&Розовое золото&Жемчуг&3.72 г,MAGIC STONES&Золото. Жемчуг
6,Золотые серьги с сапфирами и бриллиантами,Артикул: 228862,37990₽,189950₽,"Артикул: 228862;Серьги с 12 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;
2 сапфирами, 1.10 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 5.71г;Серьги с 12 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;
2 сапфирами, 1.10 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_228862.html,70734-C5R-01&РОССИЯ&Розовое золото&Бриллиант; Сапфир&5.71 г,SERGEY GRIBNYAKOV&Золото. Сапфиры
7,Золотое кольцо,Артикул: 251029,12020₽,24040₽,"Артикул: 251029;Кольцо    
Розовое золото 585 пробы.

Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.;Вес изделия: 1.85г;Кольцо    
Розовое золото 585 пробы.;Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.",,,,,https://sunlight.net/catalog/ring_251029.html,1-4672-010*&РОССИЯ&Розовое золото&1.85 г,SERGEY GRIBNYAKOV&Золотые украшения без вставок
8,Золотая подвеска с фианитами и кварцем дымчатым,Артикул: 315402,7990₽,15980₽,"Артикул: 315402;Подвеска с 1 кварцем дымчатым, 2.26 карат, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 1.06г;Подвеска с 1 кварцем дымчатым, 2.26 карат, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/pendants_315402.html,096981_03_01_005_2463*&РОССИЯ&Розовое золото&Фианит; Кварц дымчатый&1.06 г,SERGEY GRIBNYAKOV
9,Золотые серьги с бриллиантами,Артикул: 314364,31990₽,63980₽,"Артикул: 314364;Серьги с 2 бриллиантами, огранка круг 57 граней, 0.03 карат, цвет 3, чистота 6, тип огранки А;    
 585 пробы.

Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.;Вес изделия: 2.36г;Серьги с 2 бриллиантами, огранка круг 57 граней, 0.03 карат, цвет 3, чистота 6, тип огранки А;    
 585 пробы.;Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.",,,,,https://sunlight.net/catalog/earring_314364.html,"72048-C5M-01&РОССИЯ&Белое золото, Розовое золото&Бриллиант&2.36 г",SUNLIGHT&Бриллианты. Miracle
10,Золотые серьги с фианитами,Артикул: 263649,7990₽,15980₽,"Артикул: 263649;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.;Вес изделия: 1.22г;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_263649.html,С13211737-501*&РОССИЯ&Розовое золото&Фианит&1.22 г,SERGEY GRIBNYAKOV&Детская коллекция
11,Золотые серьги,Артикул: 320268,11990₽,23980₽,"Артикул: 320268;Серьги, вставка:  куб. цирконий;    
Розовое золото 585 пробы.;Вес изделия: 1.52г;Серьги, вставка:  куб. цирконий;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_320268.html,04-52-0310-00*&РОССИЯ&1.52 г,SERGEY GRIBNYAKOV&Золото. Элегантная классика
12,Золотые серьги с бриллиантами,Артикул: 299454,39990₽,79980₽,"Артикул: 299454;Серьги с 20 бриллиантами черными обл., огранка круг 57 граней, 0.17 карат, цвет 7, чистота 9, тип огранки А;    
Белое золото 585 пробы.;Вес изделия: 2.68г;Серьги с 20 бриллиантами черными обл., огранка круг 57 граней, 0.17 карат, цвет 7, чистота 9, тип огранки А;    
Белое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_299454.html,71690-C5W-01&РОССИЯ&Белое золото&Бриллиант&2.68 г,SERGEY GRIBNYAKOV&Коньячные и черные бриллианты
13,Серебряное шейное украшение с жемчугом,Артикул: 270535,1490₽,4967₽,"Артикул: 270535;Шейное укр., вставка:  жемчуг культивированный;    
Серебро 925 пробы.;Вес изделия: 2.87г;Шейное укр., вставка:  жемчуг культивированный;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/neck_decoration_270535.html,S91658-H9W-01&Серебро&Жемчуг&2.87 г,SERGEY GRIBNYAKOV&Жемчуг серебро
14,Золотая подвеска с фианитами,Артикул: 299411,3190₽,6380₽,"Артикул: 299411;Подвеска, вставка:  фианит;    
Белое золото 585 пробы.

Сердце считается одним из самых популярных мотивов в современном ювелирном искусстве, который у большинства ассоциируется с любовью и романтизмом. 
Белое золото. Изысканное сияние белого золота придает украшениям  вневременную элегантность. Если обычное ювелирное золото содержит чистое золото и сплав из серебра и меди, то в сплав белого золота вместо меди добавляется никель или палладий, которые и окрашивают металл в белый цвет.  После полировки на ювелирное изделие наносится родиевое покрытие. В компании Sunlight слой родия составляет не менее 3-х микрон в украшениях белого золота. Это необходимо для износостойкости, родий - медицинский гипоаллергенный металл, а так же для эстетически выразительного цвета украшения. Его блеск подчеркивает красоту прозрачных фианитов их яркость блеска и разнообразие огранок. Отличительная черта украшений  в белом золоте - это классические и европейские дизайны модельного ряда, представленные в коллекции. Быть совершенной легко!;Вес изделия: 0.44г;Подвеска, вставка:  фианит;    
Белое золото 585 пробы.;Сердце считается одним из самых популярных мотивов в современном ювелирном искусстве, который у большинства ассоциируется с любовью и романтизмом. 
Белое золото. Изысканное сияние белого золота придает украшениям  вневременную элегантность. Если обычное ювелирное золото содержит чистое золото и сплав из серебра и меди, то в сплав белого золота вместо меди добавляется никель или палладий, которые и окрашивают металл в белый цвет.  После полировки на ювелирное изделие наносится родиевое покрытие. В компании Sunlight слой родия составляет не менее 3-х микрон в украшениях белого золота. Это необходимо для износостойкости, родий - медицинский гипоаллергенный металл, а так же для эстетически выразительного цвета украшения. Его блеск подчеркивает красоту прозрачных фианитов их яркость блеска и разнообразие огранок. Отличительная черта украшений  в белом золоте - это классические и европейские дизайны модельного ряда, представленные в коллекции. Быть совершенной легко!",,,,,https://sunlight.net/catalog/pendants_299411.html,П33212950-501*&РОССИЯ&Белое золото&Фианит&0.44 г,SERGEY GRIBNYAKOV&Белое и желтое золото
